i,ego s,ego d,s1,d1,s2,d2,s3,d3,s4,d4,s5,d5,s6,d6,s7,d7,s8,d8,s9,d9,s10,d10,s11,d11,s12,d12
0,6458.37,6.42549,6294.59,6.07019,6332.5,10.0273,6317.3,5.99547,6287.18,2.09545,6261.59,6.01875,6392.83,6.14037,6434.35,5.94437,6360.79,6.2031,6261.06,2.09862,6452.75,1.91482,6414.53,6.04247,6391.42,2.19189,
1,6462.17,6.32635,6297.69,6.07019,6336.09,10.0273,6320.28,5.99547,6290,2.09545,6263.97,6.01875,6395.46,6.14037,6437.1,5.94437,6364.42,6.2031,6264.19,2.09862,6455.7,1.91482,6417.26,6.04247,6394.29,2.19189,
2,6465.99,6.28558,6300.8,6.07019,6339.68,10.0273,6323.26,5.99547,6292.83,2.09545,6266.35,6.01875,6398.09,6.14037,6439.86,5.94437,6368.05,6.2031,6267.31,2.09862,6458.64,1.91482,6419.99,6.04247,6397.15,2.19189,
3,6469.82,6.28177,6303.9,6.07019,6343.28,10.0273,6326.24,5.99547,6295.65,2.09545,6268.72,6.01875,6400.73,6.14037,6442.62,5.94437,6371.69,6.2031,6270.43,2.09862,6461.58,1.91482,6422.72,6.04247,6400.02,2.19189,
4,6473.65,6.29791,6307.01,6.07019,6346.87,10.0273,6329.22,5.99547,6298.47,2.09545,6271.1,6.01875,6403.36,6.14037,6445.37,5.94437,6375.32,6.2031,6273.56,2.09862,6464.53,1.91482,6425.45,6.04247,6402.89,2.19189,
5,6477.47,6.32099,6310.11,6.07019,6350.46,10.0273,6332.2,5.99547,6301.3,2.09545,6273.48,6.01875,6405.99,6.14037,6448.13,5.94437,6378.95,6.2031,6276.68,2.09862,6467.47,1.91482,6428.18,6.04247,6405.75,2.19189,
6,6481.29,6.34158,6313.22,6.07019,6354.06,10.0273,6335.18,5.99547,6304.12,2.09545,6275.86,6.01875,6408.62,6.14037,6450.89,5.94437,6382.58,6.2031,6279.8,2.09862,6470.41,1.91482,6430.91,6.04247,6408.62,2.19189,
7,6485.08,6.35339,6316.32,6.07019,6357.65,10.0273,6338.16,5.99547,6306.94,2.09545,6278.24,6.01875,6411.25,6.14037,6453.64,5.94437,6386.21,6.2031,6282.92,2.09862,6473.36,1.91482,6433.65,6.04247,6411.49,2.19189,
8,6488.86,6.35288,6319.42,6.07019,6361.25,10.0273,6341.14,5.99547,6309.77,2.09545,6280.62,6.01875,6413.88,6.14037,6456.4,5.94437,6389.84,6.2031,6286.05,2.09862,6476.3,1.91482,6436.38,6.04247,6414.35,2.19189,
9,6492.63,6.33884,6322.53,6.07019,6364.84,10.0273,6344.12,5.99547,6312.59,2.09545,6283,6.01875,6416.51,6.14037,6459.16,5.94437,6393.47,6.2031,6289.17,2.09862,6479.25,1.91482,6439.11,6.04247,6417.22,2.19189,
10,6496.38,6.31193,6325.63,6.07019,6368.43,10.0273,6347.1,5.99547,6315.42,2.09545,6285.38,6.01875,6419.14,6.14037,6461.91,5.94437,6397.1,6.2031,6292.29,2.09862,6482.19,1.91482,6441.84,6.04247,6420.08,2.19189,
11,6500.12,6.27431,6328.74,6.07019,6372.03,10.0273,6350.08,5.99547,6318.24,2.09545,6287.75,6.01875,6421.77,6.14037,6464.67,5.94437,6400.73,6.2031,6295.42,2.09862,6485.13,1.91482,6444.57,6.04247,6422.95,2.19189,
12,6503.85,6.22919,6331.84,6.07019,6375.62,10.0273,6353.06,5.99547,6321.06,2.09545,6290.13,6.01875,6424.4,6.14037,6467.42,5.94437,6404.37,6.2031,6298.54,2.09862,6488.08,1.91482,6447.3,6.04247,6425.82,2.19189,
13,6507.58,6.18041,6334.95,6.07019,6379.22,10.0273,6356.04,5.99547,6323.89,2.09545,6292.51,6.01875,6427.04,6.14037,6470.18,5.94437,6408,6.2031,6301.66,2.09862,6491.02,1.91482,6450.03,6.04247,6428.68,2.19189,
14,6511.31,6.13205,6338.05,6.07019,6382.81,10.0273,6359.02,5.99547,6326.71,2.09545,6294.89,6.01875,6429.67,6.14037,6472.94,5.94437,6411.63,6.2031,6304.79,2.09862,6493.96,1.91482,6452.76,6.04247,6431.55,2.19189,
15,6515.04,6.08796,6341.15,6.07019,6386.4,10.0273,6362,5.99547,6329.54,2.09545,6297.27,6.01875,6432.3,6.14037,6475.69,5.94437,6415.26,6.2031,6307.91,2.09862,6496.91,1.91482,6455.49,6.04247,6434.41,2.19189,
16,6518.77,6.05139,6344.26,6.07019,6390,10.0273,6364.97,5.99547,6332.36,2.09545,6299.65,6.01875,6434.93,6.14037,6478.45,5.94437,6418.89,6.2031,6311.03,2.09862,6499.85,1.91482,6458.22,6.04247,6437.28,2.19189,
17,6522.52,6.02455,6347.36,6.07019,6393.59,10.0273,6367.95,5.99547,6335.18,2.09545,6302.03,6.01875,6437.56,6.14037,6481.21,5.94437,6422.52,6.2031,6314.15,2.09862,6502.8,1.91482,6460.95,6.04247,6440.15,2.19189,
18,6526.27,6.00818,6350.47,6.07019,6397.19,10.0273,6370.93,5.99547,6338.01,2.09545,6304.41,6.01875,6440.19,6.14037,6483.96,5.94437,6426.15,6.2031,6317.28,2.09862,6505.74,1.91482,6463.69,6.04247,6443.01,2.19189,
19,6530.02,6.00114,6353.57,6.07019,6400.78,10.0273,6373.91,5.99547,6340.83,2.09545,6306.78,6.01875,6442.82,6.14037,6486.72,5.94437,6429.78,6.2031,6320.4,2.09862,6508.68,1.91482,6466.42,6.04247,6445.88,2.19189,
